Livro,Autor,Ano,Área,Caminho_SSD
Direito do Consumidor - Jurisfavorável,JUDICIA CURSOS PROFISSIONAIS LTDA,2013,consumidor,D:\doutora-ia\direito\ebooksmds\consumidor\Direito do Consumidor - Jurisfavorável.md
Direito do Consumidor - Tartuce - 2020,Flávio Tartuce,2020,consumidor,D:\doutora-ia\direito\ebooksmds\consumidor\Direito do Consumidor - Tartuce - 2020.md
Direito do Consumidor Bruno Miragem 2020,PÁGINA II,2020,consumidor,D:\doutora-ia\direito\ebooksmds\consumidor\Direito do Consumidor Bruno Miragem 2020.md
Direito do consumidor,NOTA DO AUTOR,2019,consumidor,D:\doutora-ia\direito\ebooksmds\consumidor\Direito do consumidor.md
DIREITOS DIFUSOS E COLETIVOS - 2023.1 - 30.04.2023,Gerson Cavalcante,2023,consumidor,D:\doutora-ia\direito\ebooksmds\consumidor\DIREITOS DIFUSOS E COLETIVOS - 2023.1 - 30.04.2023.md
Direitos_Difusos_e_Coletivos_Rodrigo_Picon_de_Carvalho_2019,Rodrigo Cesar Picon,2019,consumidor,D:\doutora-ia\direito\ebooksmds\consumidor\Direitos_Difusos_e_Coletivos_Rodrigo_Picon_de_Carvalho_2019.md
Direito_Constitucional_2023_Série_Resumos_DA_DEFESA_DO_ESTADO_E,DEFESA DO ESTADO,2023,consumidor,D:\doutora-ia\direito\ebooksmds\consumidor\Direito_Constitucional_2023_Série_Resumos_DA_DEFESA_DO_ESTADO_E.md
Direito_do_Consumidor_Esquematizado_Fabr,Fabrício Bolzan,2018,consumidor,D:\doutora-ia\direito\ebooksmds\consumidor\Direito_do_Consumidor_Esquematizado_Fabr.md
E-BOOK D. CONSUMIDOR,Eduardo Defaveri,2019,consumidor,D:\doutora-ia\direito\ebooksmds\consumidor\E-BOOK D. CONSUMIDOR.md
EBOOK - PROCESSO COLETIVO,Jailton,2019,consumidor,D:\doutora-ia\direito\ebooksmds\consumidor\EBOOK - PROCESSO COLETIVO.md
IURIS - Direito do Consumidor - 2025,Eduardo Defaveri,2025,consumidor,D:\doutora-ia\direito\ebooksmds\consumidor\IURIS - Direito do Consumidor - 2025.md
IURIS - Processo Coletivo e Litigio Estrutual - 2025,Natan Martins,2025,consumidor,D:\doutora-ia\direito\ebooksmds\consumidor\IURIS - Processo Coletivo e Litigio Estrutual - 2025.md
Manual de Direito do Consumidor - Flávio Tartuce,Flávio Tartuce,2018,consumidor,D:\doutora-ia\direito\ebooksmds\consumidor\Manual de Direito do Consumidor - Flávio Tartuce.md
Manual de Direito do Consumidor Direit Flavio Tartuce Daniel Amorim Assumpcao 2016,Flávio Tartuce,2016,consumidor,D:\doutora-ia\direito\ebooksmds\consumidor\Manual de Direito do Consumidor Direit Flavio Tartuce Daniel Amorim Assumpcao 2016.md
Manual_de_Direito_do_Consumidor_Direito_Material_e_Processual,NOTA DOS AUTORES,2017,consumidor,D:\doutora-ia\direito\ebooksmds\consumidor\Manual_de_Direito_do_Consumidor_Direito_Material_e_Processual.md
PREPARAO_AFT_DIREITO_COLETIVO_DO_TRABAHO_META_02_Organizao_Sindical,GUSTAVO SOUZA DIAS,2023,consumidor,D:\doutora-ia\direito\ebooksmds\consumidor\PREPARAO_AFT_DIREITO_COLETIVO_DO_TRABAHO_META_02_Organizao_Sindical.md
Rizzato Nunes - CURSO DE DIREITO DO CONSUMIDOR,RIZZATTO NUNES,2012,consumidor,D:\doutora-ia\direito\ebooksmds\consumidor\Rizzato Nunes - CURSO DE DIREITO DO CONSUMIDOR.md
📓Manual do Consumidor em Juízo - 2020,Não identificado,2020,consumidor,D:\doutora-ia\direito\ebooksmds\consumidor\📓Manual do Consumidor em Juízo - 2020.md
2020_Livro_Cibernética_Jurídica_Estudos_sobre_direito_digital_Claudio1,Não identificado,2020,digital_e_lgpd,D:\doutora-ia\direito\ebooksmds\digital_e_lgpd\2020_Livro_Cibernética_Jurídica_Estudos_sobre_direito_digital_Claudio1.md
Blockchain_e_Smartcontracts_2022_Karina_Bastos_Kaehler_Marchesin,Karina Bastos Kaehler,2022,digital_e_lgpd,D:\doutora-ia\direito\ebooksmds\digital_e_lgpd\Blockchain_e_Smartcontracts_2022_Karina_Bastos_Kaehler_Marchesin.md
DIREITO_CONSTITUCIONAL_AMBIENTAL_DIGITAL_[843806044],Marcos,2024,digital_e_lgpd,D:\doutora-ia\direito\ebooksmds\digital_e_lgpd\DIREITO_CONSTITUCIONAL_AMBIENTAL_DIGITAL_[843806044].md
Direito_e_Relacoes_de_Consumo_No_Ambiente_Digital_[597681140],ENADE,2022,digital_e_lgpd,D:\doutora-ia\direito\ebooksmds\digital_e_lgpd\Direito_e_Relacoes_de_Consumo_No_Ambiente_Digital_[597681140].md
Direito_Penal_e_Seguranca_Publica_[814641304],CONSELHO EDITORIAL SELO,2018,digital_e_lgpd,D:\doutora-ia\direito\ebooksmds\digital_e_lgpd\Direito_Penal_e_Seguranca_Publica_[814641304].md
E_book_Fraude_Em_Pix_[662820473],HOMERO LUPO MEDEIROS,2023,digital_e_lgpd,D:\doutora-ia\direito\ebooksmds\digital_e_lgpd\E_book_Fraude_Em_Pix_[662820473].md
Teoria_Geral_Do_Direito_Digital_[855129368],ENADE,2022,digital_e_lgpd,D:\doutora-ia\direito\ebooksmds\digital_e_lgpd\Teoria_Geral_Do_Direito_Digital_[855129368].md
VADE MECUM - 2025 - Direito digital,Bruno Zampier,2025,digital_e_lgpd,D:\doutora-ia\direito\ebooksmds\digital_e_lgpd\VADE MECUM - 2025 - Direito digital.md
Vade Mecum de Direito Digital - 1ª Ed - 2025,Bruno Torquato Zampier,2025,digital_e_lgpd,D:\doutora-ia\direito\ebooksmds\digital_e_lgpd\Vade Mecum de Direito Digital - 1ª Ed - 2025.md
360 - ECA e Legislação Relacionada -2024.1,INDICAÇÃO DOS PRINCIPAIS ARTIGOS,2024,direito_da_crianca_adolescente,D:\doutora-ia\direito\ebooksmds\direito_da_crianca_adolescente\360 - ECA e Legislação Relacionada -2024.1.md
5_direito_da_crianca_e_do_adolescente,ADOLESCENTE,2019,direito_da_crianca_adolescente,D:\doutora-ia\direito\ebooksmds\direito_da_crianca_adolescente\5_direito_da_crianca_e_do_adolescente.md
IURIS - Direito da Criança e do Adolescente - 2025,CP Iuris,2025,direito_da_crianca_adolescente,D:\doutora-ia\direito\ebooksmds\direito_da_crianca_adolescente\IURIS - Direito da Criança e do Adolescente - 2025.md
2022_Divorcio_Extinção_de_União_Estável_e_Inventário_por_Escritura,Christiano Cassettari,2022,direito_da_familia,D:\doutora-ia\direito\ebooksmds\direito_da_familia\2022_Divorcio_Extinção_de_União_Estável_e_Inventário_por_Escritura.md
Alienação Parental,DADOS DE COPYRIGHT,2018,direito_da_familia,D:\doutora-ia\direito\ebooksmds\direito_da_familia\Alienação Parental.md
Dano_Moral_no_Direito_de_Familia_Valeria_Silva_Galdino_Cardin,Valéria Silva Galdino,2013,direito_da_familia,D:\doutora-ia\direito\ebooksmds\direito_da_familia\Dano_Moral_no_Direito_de_Familia_Valeria_Silva_Galdino_Cardin.md
Holding familiar e suas vantagens - Planejamento,DADOS INTERNACIONAIS DE CATALOGAÇÃO NA PUBLICAÇÃO,2023,direito_da_familia,D:\doutora-ia\direito\ebooksmds\direito_da_familia\Holding familiar e suas vantagens - Planejamento.md
Livro_Completo_Estudos_avancados_do_Direito_de_Familia_e_Sucessoes_[532460823],Não identificado,2020,direito_da_familia,D:\doutora-ia\direito\ebooksmds\direito_da_familia\Livro_Completo_Estudos_avancados_do_Direito_de_Familia_e_Sucessoes_[532460823].md
Multiparentalidade_e_Parentalidade_Socioafetiva_Efeitos_Jurídicos,DADOS INTERNACIONAIS DE CATALOGAÇÃO NA PUBLICAÇÃO,2017,direito_da_familia,D:\doutora-ia\direito\ebooksmds\direito_da_familia\Multiparentalidade_e_Parentalidade_Socioafetiva_Efeitos_Jurídicos.md
Planejamento_patrimonial_Familia_sucessao_e_impostos_David_Roberto_[842644214],David Roberto,2025,direito_da_familia,D:\doutora-ia\direito\ebooksmds\direito_da_familia\Planejamento_patrimonial_Familia_sucessao_e_impostos_David_Roberto_[842644214].md
Síndrome da Alienação Parental,Ana Carolina Carpes,2018,direito_da_familia,D:\doutora-ia\direito\ebooksmds\direito_da_familia\Síndrome da Alienação Parental.md
Temas_Contemporaneos_de_Direito_de_Familia_[885567262],Marcelo Alves,2024,direito_da_familia,D:\doutora-ia\direito\ebooksmds\direito_da_familia\Temas_Contemporaneos_de_Direito_de_Familia_[885567262].md
Condominio_Edilicio_e_Incorporacao,Arnaldo Rizzardo,2019,direito_imobiliario,D:\doutora-ia\direito\ebooksmds\direito_imobiliario\Condominio_Edilicio_e_Incorporacao.md
DocGo.Net-eBook - Usucapiao Judicial e Extrajudicial(1),Cláudio Habermann Junior,2018,direito_imobiliario,D:\doutora-ia\direito\ebooksmds\direito_imobiliario\DocGo.Net-eBook - Usucapiao Judicial e Extrajudicial(1).md
esse-197-questoes-ebook-finalizado-com-registro (2),AGRADECIMENTOS,2024,direito_imobiliario,D:\doutora-ia\direito\ebooksmds\direito_imobiliario\esse-197-questoes-ebook-finalizado-com-registro (2).md
esse-197-questoes-ebook-finalizado-com-registro,AGRADECIMENTOS,2024,direito_imobiliario,D:\doutora-ia\direito\ebooksmds\direito_imobiliario\esse-197-questoes-ebook-finalizado-com-registro.md
Jurisprudencia_em_Teses_229_Registros_Publicos_Cartorarios_e_Notariais,REGISTROS PÚBLICOS,2024,direito_imobiliario,D:\doutora-ia\direito\ebooksmds\direito_imobiliario\Jurisprudencia_em_Teses_229_Registros_Publicos_Cartorarios_e_Notariais.md
Registros Publicos (2023) - Luiz Guilherme Loureiro,REGISTROS PÚBLICOS,2023,direito_imobiliario,D:\doutora-ia\direito\ebooksmds\direito_imobiliario\Registros Publicos (2023) - Luiz Guilherme Loureiro.md
#Comentários_ao_Novo_Código_de_Ética_dos_Advogados_2016_Marcus_Vinicius,Marcus Vinicius Furtado,2016,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\#Comentários_ao_Novo_Código_de_Ética_dos_Advogados_2016_Marcus_Vinicius.md
"#Curso_de_Direito_Constitucional_2022_Ingo_Wolfgang_Sarlet,_Luiz",Ingo Wolfgang Sarlet,2022,doutrina,"D:\doutora-ia\direito\ebooksmds\doutrina\#Curso_de_Direito_Constitucional_2022_Ingo_Wolfgang_Sarlet,_Luiz.md"
#Código_de_Defesa_do_Consumidor_Comentado_Artigo_por_Artigo_2017,OUTROS LIVROS DO AUTOR,2017,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\#Código_de_Defesa_do_Consumidor_Comentado_Artigo_por_Artigo_2017.md
#Fazenda_Pública_e_Execução_2018_Renata_Cortez_Vieira_Peixoto,MARCO AURÉLIO VENTURA PEIXOTO,2018,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\#Fazenda_Pública_e_Execução_2018_Renata_Cortez_Vieira_Peixoto.md
#Inventário_e_Partilha_Teoria_e_Prática_2016_Euclides_Benedito,Unknown,2017,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\#Inventário_e_Partilha_Teoria_e_Prática_2016_Euclides_Benedito.md
#Manual de Direito Previdenciário (2017),Não identificado,2017,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\#Manual de Direito Previdenciário (2017).md
#Manual_dos_Recursos_Penais_2017,PRIMEIRAS PÁGINAS,2017,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\#Manual_dos_Recursos_Penais_2017.md
(2020) Daniel Amorim - Manual de Processo Coletivo (1),DANIEL AMORIM,2020,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\(2020) Daniel Amorim - Manual de Processo Coletivo (1).md
(2022) Manual de Direito Empresarial - Gladston Mamede (1),Gladston Mamede,2022,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\(2022) Manual de Direito Empresarial - Gladston Mamede (1).md
(2022) Manual de Direito Empresarial - Gladston Mamede,Gladston Mamede,2022,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\(2022) Manual de Direito Empresarial - Gladston Mamede.md
(2022.1) CTN e Legislação Tributária,Gerson Cavalcante,2022,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\(2022.1) CTN e Legislação Tributária.md
(2022.1) Código Civil e LINDB,Gerson Cavalcante,2022,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\(2022.1) Código Civil e LINDB.md
(2022.1) Legislação Administrativa,Gerson Cavalcante,2022,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\(2022.1) Legislação Administrativa.md
(2023) Processo Penal - Norberto Avena_230817_225555,CATALOGAÇÃO NA FONTE,2023,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\(2023) Processo Penal - Norberto Avena_230817_225555.md
-CRIMINOLOGIA-Antonio-Garcia-Pablos-Molina-pdf,FELIPE VILLAVICENCIO TERREROS,2007,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\-CRIMINOLOGIA-Antonio-Garcia-Pablos-Molina-pdf.md
01_CONSTITUIÇÃO_FEDERAL_E_LEGISLAÇÃO_EXTRAVAGANTE_2024_1_20,INDICAÇÃO DOS PRINCIPAIS ARTIGOS,2024,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\01_CONSTITUIÇÃO_FEDERAL_E_LEGISLAÇÃO_EXTRAVAGANTE_2024_1_20.md
03 - CÓDIGO PENAL - 2024.1 - 02.01.2024,Gerson Cavalcante,2024,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\03 - CÓDIGO PENAL - 2024.1 - 02.01.2024.md
03. Contratos Administrativos,DIOGO SURDI,2020,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\03. Contratos Administrativos.md
04 - CÓDIGO DE PROCESSO PENAL - 2024.1 - 02.01.2024,Gerson Cavalcante,2024,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\04 - CÓDIGO DE PROCESSO PENAL - 2024.1 - 02.01.2024.md
04 - NOÇÕES DE CONTABILIDADE - TEMA 14444444,Amanda Gregorio Pereira,2025,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\04 - NOÇÕES DE CONTABILIDADE - TEMA 14444444.md
04_Direito_Processual_Civil_[713746366],Editora CP,2023,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\04_Direito_Processual_Civil_[713746366].md
05 - LEGISLAÇÃO PENAL ESPECIAL - 2024.2,PENAL ESPECIAL,2024,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\05 - LEGISLAÇÃO PENAL ESPECIAL - 2024.2.md
05 - NOÇÕES DE CONTABILIDADE - TEMA 244444444,Amanda Gregorio Pereira,2025,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\05 - NOÇÕES DE CONTABILIDADE - TEMA 244444444.md
05 DIREITO PENAL PARTE GERAL EBOOK 2024,Natan Martins,2024,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\05 DIREITO PENAL PARTE GERAL EBOOK 2024.md
06 - CÓDIGO CIVIL E LINDB - 2024.1 - 02.01.2024,Gerson Cavalcante,2024,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\06 - CÓDIGO CIVIL E LINDB - 2024.1 - 02.01.2024.md
06 DIREITO PENAL PARTE ESPECIAL EBOOK 2024,Editora CP,2024,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\06 DIREITO PENAL PARTE ESPECIAL EBOOK 2024.md
06_CP_Iuris_Colecao_Carreiras_Juridicas_Direito_Administrativo_3ª_Ed_2022_[696489753],Flávia Limmer,2022,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\06_CP_Iuris_Colecao_Carreiras_Juridicas_Direito_Administrativo_3ª_Ed_2022_[696489753].md
"06_Manual_de_Direito_Previdenciário_Hugo_Góes_11ª_Edição,_2016",Wagner,2016,doutrina,"D:\doutora-ia\direito\ebooksmds\doutrina\06_Manual_de_Direito_Previdenciário_Hugo_Góes_11ª_Edição,_2016.md"
07 - CPC E JUIZADOS ESPECIAIS - 2024.1 - 08.01.2024,Gerson Cavalcante,2024,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\07 - CPC E JUIZADOS ESPECIAIS - 2024.1 - 08.01.2024.md
07 LEGISLACAO PENAL ESPECIAL EBOOK 2024,CP Iuris,2024,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\07 LEGISLACAO PENAL ESPECIAL EBOOK 2024.md
07-sl-004ag-25-tj-sp-escrevente-legislacao-interna,SUELLEN DA SILVA SANTIAGO,2025,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\07-sl-004ag-25-tj-sp-escrevente-legislacao-interna.md
07_CP_Iuris_Direito_Constitucional_3ª_Ed_2022_3_3_2022_[656201897],Eduardo Defaveri,2022,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\07_CP_Iuris_Direito_Constitucional_3ª_Ed_2022_3_3_2022_[656201897].md
08 - LEGISLAÇÃO CIVIL ESPECIAL - 2024.1 - 25.01.2024,CIVIL ESPECIAL,2024,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\08 - LEGISLAÇÃO CIVIL ESPECIAL - 2024.1 - 25.01.2024.md
08 DIREITO PROCESSUAL PENAL EBOOK 2024,Freitas Junior,2024,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\08 DIREITO PROCESSUAL PENAL EBOOK 2024.md
08-sl-004ag-25-tj-sp-escrevente-matematica,SUELLEN DA SILVA SANTIAGO,2025,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\08-sl-004ag-25-tj-sp-escrevente-matematica.md
09_Direito_Ambiental_[713746472],Rafael Santos Rocha,2023,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\09_Direito_Ambiental_[713746472].md
0_Cp_Iuris_Direito_Penal_Parte_Geral_2023_[659760670],Paulo Máximo,2023,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\0_Cp_Iuris_Direito_Penal_Parte_Geral_2023_[659760670].md
1 CADERNO DE JURISPRUDÊNCIA,Amanda Gregorio Pereira,2023,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\1 CADERNO DE JURISPRUDÊNCIA.md
1-AlfaCon--introducao-a-lei-de-drogas-caracteristicas-da-lei,Max Odin,2020,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\1-AlfaCon--introducao-a-lei-de-drogas-caracteristicas-da-lei.md
11-sl-004ag-25-tj-sp-escrevente-atualidades,SUELLEN DA SILVA SANTIAGO,2025,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\11-sl-004ag-25-tj-sp-escrevente-atualidades.md
11_CP_Iuris_Direito_Penal_Parte_Geral_3ª_Ed_2022_3_3_2022_[656201894],Paulo Máximo,2022,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\11_CP_Iuris_Direito_Penal_Parte_Geral_3ª_Ed_2022_3_3_2022_[656201894].md
11_DIREITO_ADMINISTRATIVO_[823966639],RECORRÊNCIA DA DISCIPLINA,2004,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\11_DIREITO_ADMINISTRATIVO_[823966639].md
13. Comentários ao CPC - art. 797 a 823 - Araken de Assis,ÍNDICE,2019,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\13. Comentários ao CPC - art. 797 a 823 - Araken de Assis.md
14_Cp_Iuris_Direito_Da_Crianca_e_Do_Adolescente_2023_[669578439],CP Iuris,2023,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\14_Cp_Iuris_Direito_Da_Crianca_e_Do_Adolescente_2023_[669578439].md
1534-Coletanea-de-Direito-Militar-Doutrina-e-Jurisprudncia,Não identificado,2016,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\1534-Coletanea-de-Direito-Militar-Doutrina-e-Jurisprudncia.md
15_DIREITO_DO_CONSUMIDOR_EBOOK_2024_[834461410],Eduardo Defaveri,2024,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\15_DIREITO_DO_CONSUMIDOR_EBOOK_2024_[834461410].md
162404295-700-Questoes-Para-Estudo-Exame-OAB,Administrador,2009,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\162404295-700-Questoes-Para-Estudo-Exame-OAB.md
1799-Direito-de-Sucesses-Paulo-Lobo-2016,Não identificado,2016,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\1799-Direito-de-Sucesses-Paulo-Lobo-2016.md
1CÓDIGO CIVIL COMENTADO_Artigo_por_Artigo (2024),Ulisses Vieira Moreira,2025,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\1CÓDIGO CIVIL COMENTADO_Artigo_por_Artigo (2024).md
1_5053185953259061542,Licínia Rossi,2019,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\1_5053185953259061542.md
1_5114137290150510857,daniel messias da,2019,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\1_5114137290150510857.md
1_5147901651562004971,Ana Carolina Victalino,2020,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\1_5147901651562004971.md
1_AlfaCon_introducao_ao_estudo_da_lei_contextualizacao_do_tema_a,CONTEÚDO PROGRAMÁTICO,2018,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\1_AlfaCon_introducao_ao_estudo_da_lei_contextualizacao_do_tema_a.md
1_Manual_de_Direito_do_Consumidor_Direito_Material_e_Processual,NOTA DOS AUTORES,2017,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\1_Manual_de_Direito_do_Consumidor_Direito_Material_e_Processual.md
1_Paulo_Nader_Introdução_ao_Estudo_do_Direito_36ª_ed_2014_,NOTA DO AUTOR,2020,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\1_Paulo_Nader_Introdução_ao_Estudo_do_Direito_36ª_ed_2014_.md
1º Simulado Inédito - Gabarito,Ricardo Sanchez,2025,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\1º Simulado Inédito - Gabarito.md
2 CADERNO DE DOUTRINA,Amanda Gregorio Pereira,2023,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2 CADERNO DE DOUTRINA.md
2 CADERNO DE JURISPRUDÊNCIA,Amanda Gregorio Pereira,2024,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2 CADERNO DE JURISPRUDÊNCIA.md
2 CADERNO DE LEI SECA,Amanda Gregorio Pereira,2024,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2 CADERNO DE LEI SECA.md
2 CADERNO DE SÚMULAS,Amanda Gregorio,2024,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2 CADERNO DE SÚMULAS.md
2-AlfaCon--dos-crimes-e-das-penas-tipos-penais-em-especie,Max Odin,2020,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2-AlfaCon--dos-crimes-e-das-penas-tipos-penais-em-especie.md
2001_Dicionario_Juridico_Brasileiro_Washington_dos_Santos,WASHINGTON DOS SANTOS,2001,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2001_Dicionario_Juridico_Brasileiro_Washington_dos_Santos.md
2013 - Direito para nao advogados - Maria Pia Bastos,Maria Pia Bastos,2015,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2013 - Direito para nao advogados - Maria Pia Bastos.md
2015_Introdução_ao_Estudo_do_Direito_Teoria_Geral_do_Direito_Gustavo,Gustavo Filipe Barbosa,2015,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2015_Introdução_ao_Estudo_do_Direito_Teoria_Geral_do_Direito_Gustavo.md
2018 - Teoria Geral do Estado - Sahid Maluf,Sahid Maluf,2018,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2018 - Teoria Geral do Estado - Sahid Maluf.md
2018. Sinopses Direitos Hunanos,Ricardo Castilho,2018,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2018. Sinopses Direitos Hunanos.md
2018_Vade_Mecum_de_Jurisprudencia_Dizer_o_Direito_Màrcio_André_lopes,Não identificado,Não identificado,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2018_Vade_Mecum_de_Jurisprudencia_Dizer_o_Direito_Màrcio_André_lopes.md
2019_1_Curso_de_Direito_Tributário_2a_edição_Paulo_Caliendo_1,Paulo Caliendo,2019,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2019_1_Curso_de_Direito_Tributário_2a_edição_Paulo_Caliendo_1.md
2019_1_Direito_Previdenciário_Esquematizado_9a_edição_Marisa_Ferreira,Marisa Ferreira dos,2019,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2019_1_Direito_Previdenciário_Esquematizado_9a_edição_Marisa_Ferreira.md
2019_masson_manual_direito_constitucional,TEORIA DA CONSTITUIÇÃO,2019,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2019_masson_manual_direito_constitucional.md
2019_Prática_Manual_de_Direito_de_Família_e_Sucessões_Modelos_Práticos,Editora Contemplar,2017,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2019_Prática_Manual_de_Direito_de_Família_e_Sucessões_Modelos_Práticos.md
2020 - Manual de Direito Previdenciário,Carlos Alberto Pereira,2020,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2020 - Manual de Direito Previdenciário.md
"2020_Livro_Família,_Rede_de_Suporte_Social_e_Idosos_Instrumentos",DUARTE,2020,doutrina,"D:\doutora-ia\direito\ebooksmds\doutrina\2020_Livro_Família,_Rede_de_Suporte_Social_e_Idosos_Instrumentos.md"
2020_VADE_MECUM_CODIGO_PENAL_atualizado_com_o_pacote_anticrime_FOCUS,Vitor Krewer,2020,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2020_VADE_MECUM_CODIGO_PENAL_atualizado_com_o_pacote_anticrime_FOCUS.md
2021 Direito constitucional Esquematizado Pedro Lenza,Unknown,2021,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2021 Direito constitucional Esquematizado Pedro Lenza.md
2021_Lavagem de dinheiro. Aspectos dogmáticos (1),AGRADECIMENTOS,2021,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2021_Lavagem de dinheiro. Aspectos dogmáticos (1).md
2022_Dir_Previdenciario_CP_Iuris_[660980078],Vanessa Arcoverde,2022,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2022_Dir_Previdenciario_CP_Iuris_[660980078].md
2022_Divorcio_Extinção_de_União_Estável_e_Inventário_por_Escritura,Christiano Cassettari,2022,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2022_Divorcio_Extinção_de_União_Estável_e_Inventário_por_Escritura.md
2022_Medicina_Legal_CP_Iuris_[669592268],Noe,2022,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2022_Medicina_Legal_CP_Iuris_[669592268].md
2023 - CLT COMENTADA - Luciano Viveiros de Paula e Luiz,LUCIANO VIVEIROS,2023,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2023 - CLT COMENTADA - Luciano Viveiros de Paula e Luiz.md
2023 - CTB,INDICAÇÃO DOS PRINCIPAIS ARTIGOS,2023,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2023 - CTB.md
2023 - DIREITOS DIFUSOS E COLETIVOS,Gerson Cavalcante,2023,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2023 - DIREITOS DIFUSOS E COLETIVOS.md
2023 - LEGISLAÇÃO AMBIENTAL E URBANÍSTICA,LEGISLAÇÃO AMBIENTAL,2023,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2023 - LEGISLAÇÃO AMBIENTAL E URBANÍSTICA.md
2023 - LEGISLAÇÃO ELEITORAL,LEGISLAÇÃO ELEITORAL,2023,doutrina,D:\doutora-ia\direito\ebooksmds\doutrina\2023 - LEGISLAÇÃO ELEITORAL.md
