Livro,Autor,Ano,Área,Caminho_SSD
Cópia_de_Curso_de_Direito_Administrativo_Lucas_Rocha_Furtado_2016,NOTA AO LEITOR,2016,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Cópia_de_Curso_de_Direito_Administrativo_Lucas_Rocha_Furtado_2016.md
Direito adm (2),Licinia Rossi,2020,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito adm (2).md
direito adm oab,Licínia Rossi,2019,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\direito adm oab.md
DIREITO ADM,Rafael Carvalho Rezende,2020,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\DIREITO ADM.md
Direito Administrativo (Maria Sylvia Zanella Di Pietro),CATALOGAÇÃO NA FONTE,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito Administrativo (Maria Sylvia Zanella Di Pietro).md
Direito Administrativo - 2023 -Série Resumos -BENS PUBLICOS,BENS PUBLICOS,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito Administrativo - 2023 -Série Resumos -BENS PUBLICOS.md
Direito Administrativo - Celso Antônio Bandeira de Mello,MALHEIROS EDITORES LTDA,2012,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito Administrativo - Celso Antônio Bandeira de Mello.md
DIREITO ADMINISTRATIVO - META 07,EDITAL AFT,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\DIREITO ADMINISTRATIVO - META 07.md
Direito Administrativo Esquematizado - 2019 - Pedro Lenza - Celso Spitzcovsky,Celso Spitzcovsky,2019,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito Administrativo Esquematizado - 2019 - Pedro Lenza - Celso Spitzcovsky.md
Direito Administrativo Esquematizado PEDRO LENZA Celso Spitzcovsky,Celso Spitzcovsky,2019,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito Administrativo Esquematizado PEDRO LENZA Celso Spitzcovsky.md
DIREITO ADMINISTRATIVO FACILITADO - Evandro Zillmer (2019),DIREITO ADMINISTRATIVO,2019,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\DIREITO ADMINISTRATIVO FACILITADO - Evandro Zillmer (2019).md
Direito Administrativo Maria Sylvia Zanella Di Pietro 2023,CATALOGAÇÃO NA FONTE,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito Administrativo Maria Sylvia Zanella Di Pietro 2023.md
Direito Administrativo,Não identificado,2017,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito Administrativo.md
Direito_Administrativo_2023_Série_Resumos_ATOS_ADMINISTRATIVOS,ATOS ADMINISTRATIVOS,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito_Administrativo_2023_Série_Resumos_ATOS_ADMINISTRATIVOS.md
Direito_Administrativo_2023_Série_Resumos_CONTRATOS_ADMINISTRATIVOS,CONTRATOS ADMINISTRATIVOS,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito_Administrativo_2023_Série_Resumos_CONTRATOS_ADMINISTRATIVOS.md
Direito_Administrativo_2023_Série_Resumos_CONTROLE_ADMINISTRATIVO,CONTROLE ADMINISTRATIVO,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito_Administrativo_2023_Série_Resumos_CONTROLE_ADMINISTRATIVO.md
Direito_Administrativo_2023_Série_Resumos_IMPROBIDADE_ADMINISTRATIVA,IMPROBIDADE ADMINISTRATIVA,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito_Administrativo_2023_Série_Resumos_IMPROBIDADE_ADMINISTRATIVA.md
Direito_Administrativo_2023_Série_Resumos_INTERVENCAO_DO_ESTADO,INTERVENÇÃO DO ESTADO NA PROPRIEDADE,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito_Administrativo_2023_Série_Resumos_INTERVENCAO_DO_ESTADO.md
Direito_Administrativo_2023_Série_Resumos_INTRODUCAO_AO_DIREITO,CRITÉRIO LEGALISTA,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito_Administrativo_2023_Série_Resumos_INTRODUCAO_AO_DIREITO.md
Direito_Administrativo_2023_Série_Resumos_LICITACOES_PUBLICAS_DE,LICITAÇÕES PÚBLICAS DE ACORDO COM,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito_Administrativo_2023_Série_Resumos_LICITACOES_PUBLICAS_DE.md
Direito_Administrativo_2023_Série_Resumos_ORGANIZACAO_ADMINISTRATIVA,ORGANIZAÇÃO ADMINISTRATIVA,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito_Administrativo_2023_Série_Resumos_ORGANIZACAO_ADMINISTRATIVA.md
Direito_Administrativo_2023_Série_Resumos_PODERES_ADMINISTRATIVOS,PODERES ADMINISTRATIVOS,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito_Administrativo_2023_Série_Resumos_PODERES_ADMINISTRATIVOS.md
Direito_Administrativo_2023_Série_Resumos_PROCESSO_ADMINISTRATIVO,PROCESSO ADMINISTRATIVO,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito_Administrativo_2023_Série_Resumos_PROCESSO_ADMINISTRATIVO.md
Direito_Administrativo_2023_Série_Resumos_REGIME_JURI_DICO_ADMINISTRATIVO,REGIME JURÍDICO ADMINISTRATIVO,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito_Administrativo_2023_Série_Resumos_REGIME_JURI_DICO_ADMINISTRATIVO.md
Direito_Administrativo_2023_Série_Resumos_SERVICOS_PUBLICOS,SERVIÇOS PÚBLICOS,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito_Administrativo_2023_Série_Resumos_SERVICOS_PUBLICOS.md
Direito_Administrativo_2023_Série_Resumos_SERVIDORES_PUBLICOS,AGENTES PÚBLICOS,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito_Administrativo_2023_Série_Resumos_SERVIDORES_PUBLICOS.md
Direito_Administrativo_Esquematizado_Celso_Spitzcovsky_2019,Celso Spitzcovsky,2019,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito_Administrativo_Esquematizado_Celso_Spitzcovsky_2019.md
Direito_Administrativo_IMPROBIDADE_ADMINISTRATIVA_QUESTÕES_DISCURSIVAS,Miguel,2020,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito_Administrativo_IMPROBIDADE_ADMINISTRATIVA_QUESTÕES_DISCURSIVAS.md
